DATE,CSUSHPISA,Year,Month
2021-02-01,242.215,2021,2
2021-03-01,245.319,2021,3
2021-04-01,249.063,2021,4
2021-05-01,253.465,2021,5
2021-06-01,258.429,2021,6
2021-07-01,262.763,2021,7
2021-08-01,266.955,2021,8
2021-09-01,270.447,2021,9
2021-10-01,273.855,2021,10
2021-11-01,277.28,2021,11
2021-12-01,281.348,2021,12
2022-01-01,285.829,2022,1
2022-02-01,290.924,2022,2
2022-03-01,296.228,2022,3
2022-04-01,300.569,2022,4
2022-05-01,303.863,2022,5
2022-06-01,304.832,2022,6
2022-07-01,303.8,2022,7
2022-08-01,301.637,2022,8
2022-09-01,299.44,2022,9
2022-10-01,299.033,2022,10
2022-11-01,298.35,2022,11
2022-12-01,297.425,2022,12
2023-01-01,296.922,2023,1
2023-02-01,297.273,2023,2
2023-03-01,298.396,2023,3
2023-04-01,300.208,2023,4
2023-05-01,302.685,2023,5
2023-06-01,304.741,2023,6
2023-07-01,306.72,2023,7
